"geneset","nBait","mean.pval","median.pval","median.CIlower","median.CIupper","nIter","num","sd.pval","se.pval","mean.OR","median.OR","min.OR","sd.OR","se.OR","SElower.OR","SEupper.OR","SElower.pval","SEupper.pval","SDupper.OR","SDlower.OR","log10.median.pval","log10.SElower.pval","log10.SEupper.pval"
"exomeMinusPreyASD102",11,0.00379306671023223,0.00339562186357315,1.07644003802288,1.35975891273227,1000,1000,0.00182394262019992,5.76781300128719e-05,1.20927727396958,1.20982866574786,1.16800463672702,0.0124550317237515,0.000393862685767078,1.20943480306209,1.20943480306209,0.00333794373356028,0.00345329999358603,1.20943480306209,1.20943480306209,2.46908067876588,2.4765209883309,2.46176569216899
"exomeMinusPreyASD102",12,0.00407467273912527,0.0036745297147404,1.0745351866463,1.35733301797311,1000,1000,0.00191417575143299,6.05315521639258e-05,1.20739732345148,1.2076786081774,1.17039317745112,0.0128605620388425,0.000406686680326411,1.20727192149708,1.20727192149708,0.00361399816257647,0.00373506126690432,1.20727192149708,1.20727192149708,2.43479823627029,2.44201207257838,2.42770226997703
"exomeMinusPreyASD102",13,0.00422212750712249,0.00377985287563333,1.07383281217384,1.35634606467585,1000,1000,0.00189191534948386,5.98276164460245e-05,1.20614762114137,1.20676574700371,1.16915044701816,0.0122244234576965,0.000386570212087118,1.20637917679162,1.20637917679162,0.00372002525918731,0.00383968049207935,1.20637917679162,1.20637917679162,2.42252510401042,2.42945411122337,2.41570491268976
"exomeMinusPreyASD102",14,0.00449521876021531,0.0041250685806766,1.07164105553942,1.35379816265542,1000,1000,0.0020598152219061,6.51370766030844e-05,1.20449912818209,1.20430869653106,1.15725207245802,0.0125371394211105,0.000396459159137939,1.20391223737192,1.20391223737192,0.00405993150407352,0.00419020565727969,1.20391223737192,1.20391223737192,2.38456882675967,2.39148129343114,2.37776466113159
"exomeMinusPreyASD102",15,0.00453935214031752,0.00409897797492981,1.07183662526891,1.35400201553086,1000,1000,0.00208954999340246,6.60773726394159e-05,1.20424761056246,1.20460108343884,1.1652601653274,0.012488472612067,0.000394920179507642,1.20420616325934,1.20420616325934,0.0040329006022904,0.00416505534756923,1.20420616325934,1.20420616325934,2.38732441527514,2.39438248178826,2.38037922307251
"exomeMinusPreyASD102",16,0.00485383409260254,0.00440065796753029,1.07005243869967,1.35188931403552,1000,1000,0.00226648109032089,7.16724251911583e-05,1.20257069589753,1.20275188250773,1.16499797512576,0.0131295774035831,0.000415193693108024,1.20233668881462,1.20233668881462,0.00432898554233913,0.00447233039272144,1.20233668881462,1.20233668881462,2.35648238480826,2.36361386461254,2.34946612049829
"exomeMinusPreyASD102",17,0.00525783481287859,0.00476570820822644,1.06806117793875,1.34914004635521,1000,1000,0.00246313143200631,7.78910550149209e-05,1.20023283974917,1.20031940454505,1.15738078389537,0.0129803380492453,0.000410474330345622,1.19990893021471,1.19990893021471,0.00468781715321152,0.00484359926324136,1.19990893021471,1.19990893021471,2.32187255188392,2.3290293361751,2.31483179553772
"exomeMinusPreyASD102",18,0.005264620279937,0.00472412445593106,1.06825519432203,1.34967001113459,1000,1000,0.00247802823074582,7.83621331535409e-05,1.20024637355775,1.20061110527,1.1619209951754,0.0130314792927337,0.000412091558463585,1.20019901371154,1.20019901371154,0.00464576232277752,0.0048024865890846,1.20019901371154,1.20019901371154,2.32567866952336,2.33294301247521,2.31853383922935
"exomeMinusPreyASD102",19,0.00564140254498674,0.00502213472403552,1.06667036899168,1.34744409548741,1000,1000,0.00275477670921384,8.71136884629909e-05,1.19841297994716,1.1987845591389,1.15601818133202,0.0134083754163217,0.00042401006038185,1.19836054907852,1.19836054907852,0.00493502103557253,0.00510924841249851,1.19836054907852,1.19836054907852,2.29911164106149,2.30671099180618,2.29164298133523
"exomeMinusPreyASD102",20,0.00572764506189575,0.00520852950365342,1.06569281367758,1.34659240015023,1000,1000,0.00273579223744428,8.65133467533211e-05,1.19791465936107,1.19784819515725,1.15675357021718,0.0132353540956338,0.000418538645810409,1.19742965651144,1.19742965651144,0.0051220161569001,0.00529504285040674,1.19742965651144,1.19742965651144,2.28328487143959,2.29055905592587,2.27613052099183
"exomeMinusPreyASD102",21,0.00607792725246807,0.00566274862090432,1.06369628486062,1.34380720223652,1000,1000,0.00283382728161708,8.96134870543337e-05,1.19622655090447,1.19543337143172,1.14893094865883,0.0134128022099016,0.000424150047886289,1.19500922138383,1.19500922138383,0.00557313513384998,0.00575236210795865,1.19500922138383,1.19500922138383,2.24697271702035,2.25390042631867,2.24015378317134
"exomeMinusPreyASD102",22,0.00627338976687008,0.00573517577612179,1.06329691592128,1.34363317978198,1000,1000,0.00283583745695101,8.9677054379849e-05,1.19521344031972,1.1951055794374,1.15954066057993,0.0131952835732027,0.000417271504631257,1.19468830793277,1.19468830793277,0.00564549872174194,0.00582485283050164,1.19468830793277,1.19468830793277,2.24145326696413,2.24829768659403,2.23471504295576
"exomeMinusPreyASD102",23,0.00660732701521431,0.00601418384943989,1.06210893683877,1.34212666832461,1000,1000,0.0030949077752621,9.78695771799275e-05,1.1937900488739,1.19387702088705,1.14831659732989,0.0133449120693407,0.000422003173137875,1.19345501771391,1.19345501771391,0.00591631427225997,0.00611205342661982,1.19345501771391,1.19345501771391,2.22082329995069,2.22794876451233,2.21381285816523
"exomeMinusPreyASD102",24,0.00669845831930426,0.00605203424546574,1.06191147863026,1.34169577058721,1000,1000,0.00323547154360126,0.000102314593824408,1.1935084373429,1.19357594153093,1.14709392912005,0.0135111496042736,0.000427260065567872,1.19314868146536,1.19314868146536,0.00594971965164133,0.00615434883929015,1.19314868146536,1.19314868146536,2.21809862318442,2.22550349756786,2.21081789081767
"exomeMinusPreyASD102",25,0.00703026451506162,0.00645769076111814,1.06024035404631,1.33990135456528,1000,1000,0.00326464649453226,0.000103237186780064,1.19204205774194,1.19175617960556,1.15006288194676,0.0135606791215306,0.000428826326427279,1.19132735327913,1.19132735327913,0.00635445357433807,0.0065609279478982,1.19132735327913,1.19132735327913,2.18992275584341,2.19692178891055,2.18303473163792
"exomeMinusPreyASD102",26,0.00702227008677627,0.00641719805170357,1.06043312183416,1.34008777737713,1000,1000,0.00323314308183317,0.00010224096139809,1.19198334950304,1.19205052387251,1.14719383273454,0.0132293027590026,0.00041834728574398,1.19163217658677,1.19163217658677,0.00631495709030548,0.00651943901310166,1.19163217658677,1.19163217658677,2.19265455702567,2.19962959609944,2.18578977297915
"exomeMinusPreyASD102",27,0.00748622109829755,0.00684835400922916,1.05875230261262,1.33814225015596,1000,1000,0.0035095257910593,0.000110980950068516,1.19031165374138,1.1902243131639,1.14546347185974,0.013882050621577,0.000438988985579394,1.18978532417832,1.18978532417832,0.00673737305916065,0.00695933495929768,1.18978532417832,1.18978532417832,2.1644137979394,2.17150940439896,2.1574322600025
"exomeMinusPreyASD102",28,0.00755834407774251,0.00684835400922916,1.05875230261262,1.3379732844093,1000,1000,0.00345602640103696,0.000109289150809513,1.18990543174995,1.1902243131639,1.15016583663952,0.0134773841445729,0.000426192307978904,1.18979812085592,1.18979812085592,0.00673906485841965,0.00695764316003868,1.18979812085592,1.18979812085592,2.1644137979394,2.17140036385115,2.15753784888538
"exomeMinusPreyASD102",29,0.00767983132471222,0.00693431076677368,1.05836371732996,1.33760511659074,1000,1000,0.00363604024478294,0.000114981688375503,1.18949846218155,1.18964255278099,1.14831659732989,0.0135171613942209,0.000427450175058352,1.18921510260594,1.18921510260594,0.00681932907839817,0.00704929245514918,1.18921510260594,1.18921510260594,2.15899669898325,2.16625835142602,2.15185447141215
"exomeMinusPreyASD102",30,0.00816992667002215,0.0074801306791062,1.05638368064315,1.33532853541785,1000,1000,0.00369883722666172,0.000116967503304715,1.18755255736341,1.18750441378414,1.14770426749018,0.0133362633911689,0.000421729677920147,1.18708268410622,1.18708268410622,0.00736316317580148,0.00759709818241091,1.18708268410622,1.18708268410622,2.12609081487364,2.13293557497285,2.11935226087968
