"ensembl_gene_id","hgnc_symbol","ASD102","hek293TproteinExpr","associationGene","bait","prey","preyAll","case.ptv","control.ptv","proband.dnPTV","proband.dnMisA","proband.dnMisB","proband.dnm.damagingMissense","sibling.dnm.damagingMissense","proband.dnm.PTV","sibling.dnm.PTV","proband.dnm.damaging","sibling.dnm.damaging","proband.dnm.missense","sibling.dnm.missense","proband.dnm.synonymous","sibling.dnm.synonymous","numProband.damaging","numSibling.damaging"
"ENSG00000244486","SCARF2",0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169727","GPS1",0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115977","AAK1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000148357","HMCN2",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,0,1,0
"ENSG00000224994","TRIM39",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232388","SMIM26",0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172661","WASHC2C",0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280071","GATD3B",0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160221","GATD3A",0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167384","ZNF180",0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000012983","MAP4K5",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000129292","PHF20L1",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
